"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-01",98.10447,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-02",98.01363,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-03",97.94798,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-04",97.89857,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-05",97.85091,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-06",97.7984,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-07",97.74872,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-08",97.71153,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-09",97.73228,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-10",97.84386,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-11",98.05291,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-12",98.3555,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-01",98.75098,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-02",99.2321,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-03",96.86878,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-04",88.8051,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-05",90.47006,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-06",94.91589,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-07",98.68405,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-08",99.56741,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-09",99.43065,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2019-01",99.22602,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2019-02",99.26895,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2019-03",99.30823,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2019-04",99.31686,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2019-05",99.28808,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2019-06",99.22759,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2019-07",99.12789,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2019-08",98.97568,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2019-09",98.76952,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2019-10",98.52831,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2019-11",98.27733,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2019-12",98.02598,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2020-01",97.79263,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2020-02",85.51633,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2020-03",92.54871,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2020-04",95.37202,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2020-05",97.97731,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2020-06",98.41081,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2020-07",98.95142,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2020-08",99.53043,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2020-09",100.1317,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2019-01",100.6364,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2019-02",100.5293,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2019-03",100.3941,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2019-04",100.2371,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2019-05",100.0798,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2019-06",99.94063,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2019-07",99.82825,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2019-08",99.74296,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2019-09",99.68657,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2019-10",99.66901,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2019-11",99.68328,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2019-12",99.7068,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2020-01",99.71561,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2020-02",99.69951,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2020-03",93.41183,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2020-04",95.86478,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2020-05",97.18199,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2020-06",97.71072,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2020-07",97.98446,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2020-08",98.15982,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2019-01",100.9957,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2019-02",100.7707,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2019-03",100.5411,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2019-04",100.2965,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2019-05",100.0318,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2019-06",99.76506,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2019-07",99.51048,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2019-08",99.30665,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2019-09",99.17697,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2019-10",99.10951,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2019-11",99.08311,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2019-12",99.04321,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2020-01",98.96944,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2020-02",98.84772,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2020-03",97.92099,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2020-04",89.9025,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2020-05",91.13555,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2020-06",93.16117,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2020-07",93.36766,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2020-08",95.32336,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2020-09",95.26044,
"BRA","CLI","AMPLITUD","LTRENDIDX","M","2019-01",102.6202,
"BRA","CLI","AMPLITUD","LTRENDIDX","M","2019-02",102.7137,
"BRA","CLI","AMPLITUD","LTRENDIDX","M","2019-03",102.7572,
"BRA","CLI","AMPLITUD","LTRENDIDX","M","2019-04",102.7819,
"BRA","CLI","AMPLITUD","LTRENDIDX","M","2019-05",102.8138,
"BRA","CLI","AMPLITUD","LTRENDIDX","M","2019-06",102.8821,
"BRA","CLI","AMPLITUD","LTRENDIDX","M","2019-07",102.9879,
"BRA","CLI","AMPLITUD","LTRENDIDX","M","2019-08",103.1192,
"BRA","CLI","AMPLITUD","LTRENDIDX","M","2019-09",103.2613,
"BRA","CLI","AMPLITUD","LTRENDIDX","M","2019-10",103.3822,
"BRA","CLI","AMPLITUD","LTRENDIDX","M","2019-11",103.441,
"BRA","CLI","AMPLITUD","LTRENDIDX","M","2019-12",103.3629,
"BRA","CLI","AMPLITUD","LTRENDIDX","M","2020-01",103.0756,
"BRA","CLI","AMPLITUD","LTRENDIDX","M","2020-02",102.5824,
"BRA","CLI","AMPLITUD","LTRENDIDX","M","2020-03",101.0644,
"BRA","CLI","AMPLITUD","LTRENDIDX","M","2020-04",92.88487,
"BRA","CLI","AMPLITUD","LTRENDIDX","M","2020-05",95.14984,
"BRA","CLI","AMPLITUD","LTRENDIDX","M","2020-06",100.1262,
"BRA","CLI","AMPLITUD","LTRENDIDX","M","2020-07",101.2085,
"BRA","CLI","AMPLITUD","LTRENDIDX","M","2020-08",102.6469,
"BRA","CLI","AMPLITUD","LTRENDIDX","M","2020-09",103.1078,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-01",99.93694,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-02",99.9171,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-03",99.90326,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-04",99.87873,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-05",99.83983,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-06",99.7874,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-07",99.7307,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-08",99.69214,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-09",99.69084,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-10",99.74281,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-11",99.80397,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-12",99.84031,
